Кабель определение;Кабель определение;;Кабель определение
Классификация кабелей;По назначению;Процент расспрастранения кабелей на рынке;Классификация кабелей
Классификация кабелей;По материалу жилы;;Классификация кабелей
Классификация кабелей;По материалу оболочки;;Классификация кабелей
Классификация кабелей;По безопасности;;Классификация кабелей
Классификация кабелей;По номинальному напряжению;;Классификация кабелей
Классификация кабелей;По климатическому исполнению;;Классификация кабелей
Классификация кабелей;По другим параметрам;;Классификация кабелей
Совокупный мировой спрос на силовую кабельную продукцию;Объем;;Совокупный мировой спрос на силовую кабельную продукцию
Совокупный мировой спрос на силовую кабельную продукцию;Денежный эквивалент;;Совокупный мировой спрос на силовую кабельную продукцию
Распределение спроса по странам;Страна;Млн тонн, % от общего числа;Распределение спроса кабельной продукции по странам
Распределение спроса по странам;Россия;;Распределение спроса кабельной продукции по странам
Крупнейшие мировые производители;Компания;;Крупнейшие мировые производители силового кабеля
Крупнейшие мировые производители;Страна;;Крупнейшие мировые производители силового кабеля
Крупнейшие мировые производители;Процент рынка;;Крупнейшие мировые производители силового кабеля
Российские производители силового кабеля;Общее  производство;;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Название;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Учредитель;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Собственики;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Численость;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Город;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Какими компаниями управляет;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Доля рынка;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Объемы производства;Российские производители силового кабеля
Российские производители силового кабеля;Компания;загрузка мощностей;Российские производители силового кабеля
Российские производители силового кабеля;Компания;Отстранен?;Российские производители силового кабеля
Российские производители силового кабеля;Динамика производства силового кабеля;Год;Динамика производства силового кабеля в России
Российские производители силового кабеля;Динамика производства силового кабеля;Объем производства;Динамика производства силового кабеля в России
Российские производители силового кабеля;Динамика производства силового кабеля;Причины изменения динамики производства\потребления;Динамика производства силового кабеля в России
Российские производители силового кабеля;Особенности рынка;Конкурентность;Особенности рынка силового кабеля в России
Российские производители силового кабеля;Особенности рынка;Некоторые особенности, предположения ;Особенности рынка силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Баланс спроса и предложения в России;Год;Баланс спроса и предложения силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Баланс спроса и предложения в России;Предложение;Баланс спроса и предложения силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Баланс спроса и предложения в России;Потребление;Баланс спроса и предложения силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Экспорт и импорт силового кабеля в России;Страны;Экспорт и импорт силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Экспорт и импорт силового кабеля в России;Внутренее предложения (тыс\т);Экспорт и импорт силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Экспорт и импорт силового кабеля в России;Экспорт\импорт (тыс\т);Экспорт и импорт силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Отраслевая структура потребления;Отрасль;Отраслевая структура потребления силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Отраслевая структура потребления;Объемы потребления;Отраслевая структура потребления силового кабеля в России
Баланс и отраслевая структура российского рынка силовых кабелей;Отраслевая структура потребления;Потребление нефтяной отрасли;Отраслевая структура потребления силового кабеля в России
Структура и динамика закупок группы компаний Газпром нефть;Доля ГПН в отрасли по годам;;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;Динамика закупки силового кабеля;год;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;Динамика закупки силового кабеля;проноз закупок;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;Динамика закупки силового кабеля;факт закупок;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;"Структура потребления
силового кабеля
по Заказчикам";Подразделение газпрома ;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;"Структура потребления
силового кабеля
по Заказчикам";Год;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;"Структура потребления
силового кабеля
по Заказчикам";Тонн потреблено;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;"Структура потребления
силового кабеля
по Заказчикам";Доля потребления;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;поставщики газпрома;Крупнейшие;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;поставщики газпрома;Другие;Закупки силового кабеля в Газпром Нефть
Структура и динамика закупок группы компаний Газпром нефть;Причины снижения закупок силового кабеля;;Закупки силового кабеля в Газпром Нефть
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть";Структура заявок Заказчиков по длинам силовых кабелей;Год;Закупки силового кабеля в Газпром Нефть
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть";Структура заявок Заказчиков по длинам силовых кабелей;Всего марок;Закупки силового кабеля в Газпром Нефть
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть";Структура заявок Заказчиков по длинам силовых кабелей;Процент марок с длиной <= 200;Закупки силового кабеля в Газпром Нефть
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть";"Структура закупки по типам силовых кабелей
";Год;Закупки силового кабеля в Газпром Нефть
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть";"Структура закупки по типам силовых кабелей
";Сумма закупок;Закупки силового кабеля в Газпром Нефть
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть";"Структура закупки по типам силовых кабелей
";Тоннаж закупок;Закупки силового кабеля в Газпром Нефть
"Особенности закупок силового кабеля
потребности предприятий Газпром нефть";"Структура закупки по типам силовых кабелей
";Доля морозостойких кабелей;Закупки силового кабеля в Газпром Нефть
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть";Контрафакт;Определение;Контрафакт силового кабеля в России
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть";Контрафакт;Основные проблемные места;Контрафакт силового кабеля в России
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть";Контрафакт;Примеры нанесенного ушерба;Контрафакт силового кабеля в России
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть";Контрафакт;Доля контрафакта в сегменте общепромышленного кабеля;Контрафакт силового кабеля в России
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть";Контрафакт;Доля предприятий замеченых в производстве не по ГОСТУ;Контрафакт силового кабеля в России
"контрафакта на российском кабельном рынке
и меры противодействия со стороны Газпром нефть";Меры противодействия;;Меры противодействия контрафакту силового кабеля в России
Цены на кабель;Котировки меди (LME);Год;Котировки меди (LME)
Цены на кабель;Котировки меди (LME);Котировка (тыс.руб.\т.);Котировки меди (LME)
Цены на кабель;Котировски алюминия;Год;Котировски алюминия
Цены на кабель;Котировски алюминия;Котировка (тыс.руб.\т.);Котировски алюминия
Цены на кабель;Доллар\рубль;Год;Курс доллара к рублю
Цены на кабель;Доллар\рубль;Котировка;Курс доллара к рублю
Цены на кабель;Структура себестоимости кабельной продукции;С медной жилой;Структура себестоимости кабельной продукции
Цены на кабель;Структура себестоимости кабельной продукции;С алюминивой жилой;Структура себестоимости кабельной продукции
Цены на кабель;Структура себестоимости кабельной продукции;Со сплавом;Структура себестоимости кабельной продукции
Цены на кабель;Прогнозы;;Прогноз цены на силовой кабель
Стратегия контрактования кабеля;"Кабели силовые
морозостойкие
с ЭПР-изоляцией";Ориетир цены;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;"Кабели силовые
морозостойкие
с ЭПР-изоляцией";Сколько тонн;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;"Кабели силовые
морозостойкие
с ЭПР-изоляцией";Общая длина;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;"Кабели
общепромышленные";Ориетир цены;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;"Кабели
общепромышленные";Сколько тонн;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;"Кабели
общепромышленные";Общая длина;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Перечень аккредитованных поставщиков;Критерии потенциальных поставщиков;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Перечень аккредитованных поставщиков;Контрагент;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Перечень аккредитованных поставщиков;Объемы поставок;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Перечень аккредитованных поставщиков;Количество незакрытых претензий;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Перечень аккредитованных поставщиков;Своевременность поставок;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Перечень не участвующих в конкурсном отборе;Контрагент;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Перечень не участвующих в конкурсном отборе;Причина;Стратегия закупки силового кабеля
Стратегия контрактования кабеля;Итоги;Ориетир цены по сравнению с прошлым годом;Стратегия закупки силового кабеля
