,name,address
0,Grainger Ww,"Лейк-Форест, Иллинойс, США"
1,Nexans,"Париж, Франция"
2,Forbes,Николай Дмитриевич Мазурин
3,SKET Verseilmaschinenbau GmbH,"Schönebecker Str. 82-84, 39104 Magdeburg, Германия"
4,LAPP KABEL,"Санкт-Петербург, 197758"
5,ARISTONCAVI,"Via Luigi Einaudi, 8, 36040 Brendola VI, Италия"
6,ООО «HELUKABEL Russia,"Ключевая ул., 30, Санкт-Петербург, 195221"
7,Twitter,
8,Aristoncavi,"Via Luigi Einaudi, 8, 36040 Brendola VI, Италия"
9,HELUKABEL,"Ключевая ул., 30, Санкт-Петербург, 195221"
10,Rosendahl,"Pyynikintie 13, 33230 Tampere, Финляндия"
11,"W.W. Grainger, Inc","Лейк-Форест, Иллинойс, США"
12,AliExpress,Alibaba Group
13,Facebook,
14,Maillefer,"Ensimmäinen savu, 01510 Vantaa, Финляндия"
15,Helukabel,"Ключевая ул., 30, Санкт-Петербург, 195221"
16,NEXANS,"Париж, Франция"
17,Insider,ноябрь 2013 г.
18,LappKabel,"Санкт-Петербург, 197758"
