,close,year,month
0,2685.00,2021,11
1,2553.50,2021,10
2,2721.00,2021,10
3,2869.50,2021,10
4,3167.00,2021,10
5,2967.50,2021,10
6,2854.50,2021,09
7,2928.50,2021,09
8,2885.50,2021,09
9,2911.50,2021,09
10,2728.50,2021,08
11,2639.00,2021,08
12,2553.00,2021,08
13,2601.00,2021,08
14,2578.50,2021,08
15,2592.00,2021,07
16,2497.50,2021,07
17,2490.00,2021,07
18,2500.50,2021,07
19,2562.00,2021,06
20,2485.50,2021,06
21,2386.00,2021,06
22,2464.50,2021,06
23,2457.50,2021,05
24,2499.00,2021,05
25,2370.00,2021,05
26,2447.00,2021,05
27,2535.00,2021,05
28,2407.00,2021,04
29,2368.00,2021,04
30,2314.00,2021,04
31,2257.50,2021,04
32,2225.50,2021,03
33,2296.00,2021,03
34,2270.00,2021,03
35,2173.00,2021,03
36,2182.00,2021,02
37,2160.00,2021,02
38,2134.00,2021,02
39,2089.50,2021,02
40,2014.00,2021,01
41,1977.50,2021,01
42,1995.00,2021,01
43,1991.00,2021,01
44,2021.50,2021,01
45,1988.50,2020,12
46,2024.00,2020,12
47,2056.50,2020,12
48,2023.00,2020,12
49,2046.00,2020,11
50,1997.50,2020,11
51,1989.00,2020,11
52,1932.00,2020,11
53,1898.00,2020,11
54,1848.50,2020,10
55,1841.50,2020,10
56,1864.50,2020,10
57,1851.00,2020,10
58,1768.00,2020,09
59,1750.50,2020,09
60,1793.50,2020,09
61,1775.00,2020,09
62,1786.50,2020,08
63,1800.00,2020,08
64,1764.00,2020,08
65,1746.00,2020,08
66,1771.00,2020,08
67,1712.50,2020,07
68,1698.50,2020,07
69,1662.50,2020,07
70,1686.00,2020,07
71,1614.00,2020,06
72,1601.00,2020,06
73,1588.00,2020,06
74,1585.00,2020,06
75,1591.50,2020,05
76,1546.50,2020,05
77,1502.00,2020,05
78,1462.00,2020,05
79,1489.00,2020,05
80,1484.00,2020,04
81,1516.00,2020,04
82,1506.00,2020,04
83,1483.00,2020,04
84,1478.00,2020,03
85,1550.00,2020,03
86,1577.00,2020,03
87,1688.00,2020,03
88,1685.00,2020,03
89,1693.00,2020,02
90,1710.00,2020,02
91,1721.00,2020,02
92,1719.00,2020,02
93,1725.00,2020,01
94,1783.00,2020,01
95,1804.00,2020,01
96,1806.00,2020,01
97,1818.00,2019,12
98,1822.00,2019,12
99,1801.00,2019,12
100,1765.00,2019,12
101,1760.00,2019,12
102,1758.00,2019,11
103,1738.00,2019,11
104,1756.00,2019,11
105,1806.00,2019,11
106,1788.00,2019,10
107,1732.00,2019,10
108,1735.00,2019,10
109,1721.00,2019,10
110,1726.00,2019,09
111,1740.00,2019,09
112,1786.00,2019,09
113,1810.00,2019,09
114,1783.00,2019,09
115,1755.00,2019,08
116,1768.00,2019,08
117,1796.00,2019,08
118,1774.00,2019,08
119,1772.00,2019,07
120,1804.00,2019,07
121,1846.00,2019,07
122,1827.00,2019,07
123,1802.00,2019,06
124,1792.00,2019,06
125,1767.00,2019,06
126,1758.00,2019,06
127,1759.00,2019,06
128,1794.00,2019,05
129,1802.00,2019,05
130,1835.00,2019,05
131,1815.00,2019,05
132,1799.00,2019,04
133,1845.00,2019,04
134,1868.00,2019,04
135,1863.00,2019,04
136,1881.00,2019,03
137,1911.00,2019,03
138,1901.00,2019,03
139,1896.00,2019,03
140,1870.00,2019,03
141,1909.00,2019,02
142,1912.00,2019,02
143,1856.00,2019,02
144,1880.00,2019,02
145,1874.00,2019,01
146,1903.00,2019,01
147,1869.00,2019,01
148,1832.00,2019,01
149,1868.00,2018,12
150,1844.00,2018,12
151,1907.00,2018,12
152,1924.00,2018,12
153,1961.00,2018,12
154,1950.00,2018,11
155,1942.00,2018,11
156,1945.00,2018,11
157,1955.00,2018,11
158,1984.00,2018,10
159,2002.00,2018,10
160,2010.00,2018,10
161,2030.00,2018,10
162,2106.00,2018,09
163,2051.00,2018,09
164,2082.00,2018,09
165,2034.00,2018,09
166,2061.00,2018,09
167,2117.00,2018,08
168,2086.00,2018,08
169,2033.00,2018,08
170,2081.00,2018,08
171,2028.00,2018,07
172,2053.00,2018,07
173,2042.00,2018,07
174,2037.00,2018,07
175,2086.00,2018,07
176,2130.00,2018,06
177,2176.00,2018,06
178,2210.00,2018,06
179,2310.00,2018,06
180,2297.00,2018,05
181,2264.00,2018,05
182,2266.00,2018,05
183,2273.00,2018,05
184,2343.00,2018,04
185,2227.00,2018,04
186,2477.00,2018,04
187,2276.00,2018,04
188,2053.00,2018,04
189,2005.00,2018,03
190,2053.00,2018,03
191,2083.00,2018,03
192,2118.00,2018,03
193,2149.00,2018,02
194,2147.00,2018,02
195,2197.00,2018,02
196,2122.00,2018,02
197,2213.00,2018,01
198,2259.00,2018,01
199,2216.00,2018,01
200,2220.00,2018,01
201,2203.00,2017,12
202,2277.00,2017,12
203,2183.00,2017,12
204,2062.00,2017,12
205,2025.00,2017,12
206,2074.00,2017,11
207,2130.00,2017,11
208,2107.00,2017,11
209,2107.00,2017,11
210,2185.00,2017,10
211,2182.00,2017,10
212,2134.00,2017,10
213,2138.00,2017,10
214,2145.00,2017,10
215,2104.00,2017,09
216,2158.00,2017,09
217,2087.00,2017,09
218,2090.00,2017,09
219,2139.00,2017,08
220,2072.00,2017,08
221,2061.00,2017,08
222,2043.00,2017,08
223,1906.00,2017,07
224,1910.00,2017,07
225,1916.00,2017,07
226,1925.00,2017,07
227,1930.00,2017,07
228,1921.00,2017,06
229,1865.00,2017,06
230,1872.00,2017,06
231,1908.00,2017,06
232,1930.00,2017,05
233,1951.00,2017,05
234,1940.00,2017,05
235,1886.00,2017,05
